CMPLNT_FR_DT,CMPLNT_FR_TM,LAW_CAT_CD,BORO_NM,X_COORD_CD,Y_COORD_CD,Latitude,Longitude
6/1/2017,18:25:00,MISDEMEANOR,MANHATTAN,"999,749","238,024",40.81999118,-73.94400425
6/1/2017,18:25:00,MISDEMEANOR,MANHATTAN,"986,930","206,925",40.7346458,-73.99033113
6/1/2017,18:30:00,VIOLATION,MANHATTAN,"990,723","212,236",40.74922121,-73.97663963
6/1/2017,18:30:00,FELONY,MANHATTAN,"998,060","225,470",40.78553669,-73.95013235
6/1/2017,18:30:00,MISDEMEANOR,MANHATTAN,"984,732","208,134",40.7379646,-73.99826215
6/1/2017,18:30:00,VIOLATION,MANHATTAN,"986,027","211,402",40.74693428,-73.99358827
6/1/2017,18:39:00,FELONY,MANHATTAN,"999,094","224,575",40.78307848,-73.94640047
6/1/2017,18:45:00,MISDEMEANOR,MANHATTAN,"999,943","237,471",40.81847301,-73.94330463
6/1/2017,18:45:00,MISDEMEANOR,MANHATTAN,"999,943","237,471",40.81847301,-73.94330463
6/1/2017,18:45:00,MISDEMEANOR,MANHATTAN,"1,001,883","233,380",40.8072407,-73.93630641
6/1/2017,18:45:00,MISDEMEANOR,MANHATTAN,"986,464","208,227",40.7382196,-73.99201218
